→ Saved as s_e79c04a3 (60 papers). Use: map --from s_e79c04a3 "your question"

id          | doi                            | pmid     | authors                                                      | title                                                        | pub_date
PMC3693634  | 10.5812/ijem.4020              | 23843832 | Pietro Scicchitano, Ilaria Dentamaro, Rosa Carbonara, Gab... | Cardiovascular Risk in Women With PCOS                       | 2012    
PMC3725838  | 10.1155/2013/858921            | 23936672 | Nikhil Narayanaswamy, Shailaja Moodithaya, Harsha Halahal... | Assessment of Risk Factor for Cardiovascular Disease Usin... | 2013    
PMC3897322  | 10.2147/IJWH.S38342            | 24474847 | Richa Sood, Stephanie S Faubion, Carol L Kuhle, Jacquelin... | Prescribing menopausal hormone therapy: an evidence-based... | 2014    
PMC4213826  | 10.1136/lupus-2014-000024      | 25379191 | Pin Lin, Elisa Rhew, Roberta B Ness, Alan Peaceman, Alan ... | Adverse pregnancy outcomes and subsequent risk of cardiov... | 2014    
PMC4255821  | 10.14814/phy2.12217            | 25428950 | Malia S. Q. Murphy, Meera Vignarajah, Graeme N. Smith        | Increased microvascular vasodilation and cardiovascular r... | 2014    
PMC4351318  | 10.3904/kjim.2015.30.2.140     | 25750553 | Jin Joo Park, Sung-Ji Park, Dong-Ju Choi                     | Microvascular angina: angina that predominantly affects w... | 2015    
PMC4423851  | 10.1371/journal.pone.0125374   | 25951606 | Rajesh Mohandas, Mark S. Segal, Tianyao Huo, Eileen M. Ha... | Renal Function and Coronary Microvascular Dysfunction in ... | 2015    
PMC4872284  | 10.1093/eurheartj/ehv647       | 26614823 | C. Noel Bairey Merz, Eileen M. Handberg, Chrisandra L. Sh... | A randomized, placebo-controlled trial of late Na current... | 2016    
PMC4943278  | 10.1161/JAHA.115.003064        | 27068634 | Naja Dam Mygind, Marie Mide Michelsen, Adam Pena, Daria F... | Coronary Microvascular Function and Cardiovascular Risk F... | 2016    
PMC5993253  | 10.1371/journal.pone.0196962   | 29883497 | Marie Mide Michelsen, Anna Bay Rask, Elena Suhrs, Kristof... | Effect of ACE-inhibition on coronary microvascular functi... | 2018    
PMC6132927  | 10.1093/ofid/ofy205            | 30214912 | Andreas Knudsen, Kristina Thorsteinsson, Thomas E Christe... | Cardiac Microvascular Dysfunction in Women Living With HI... | 2018    
PMC6287215  | 10.1515/jomb-2017-0020         | 30568543 | Iva Perovic Blagojevic, Tatjana Eror, Jovana Pelivanovic,... | Women with Polycystic Ovary Syndrome and Risk of Cardiova... | 2017    
PMC6601184  | 10.1093/ehjcr/ytz071           | 31449628 | Christine Pacheco, Janet Wei, Margo Minissian, Chrisandra... | Cardiovascular and pregnancy outcomes in women with coron... | 2019    
PMC6616854  | 10.3389/fendo.2019.00442       | 31333587 | Ariane A. Sickinghe, Suzanne J. A. Korporaal, Hester M. d... | Estrogen Contributions to Microvascular Dysfunction Evolv... | 2019    
PMC6733383  | 10.12688/f1000research.15548.1 | 31543950 | Frederick Naftolin, Jenna Friedenthal, Richard Nachtigall... | Cardiovascular health and the menopausal woman: the role ... | 2019    
PMC7003818  | 10.1111/cen.14117              | 31638273 | Cindy Meun, Marlise N Gunning, Yvonne V Louwers, Henrike ... | The cardiovascular risk profile of middle‐aged women with... | 2019    
PMC7563453  | 10.3390/jcm9092880             | 32899944 | Federico Vancheri, Giovanni Longo, Sergio Vancheri, Micha... | Coronary Microvascular Dysfunction                           | 2020    
PMC7644075  | 10.1371/journal.pone.0240722   | 33151955 | Kira Bang Bove, Malin Nilsson, Lene Rørholm Pedersen, Nic... | Comprehensive treatment of microvascular angina in overwe... | 2020    
PMC7691511  | 10.1038/s41598-020-77534-9     | 33244065 | Ji-Eun Kim, Jae-Hyuck Chang, Min-Ji Jeong, Jaesung Choi, ... | A systematic review and meta-analysis of effects of menop... | 2020    
PMC7801206  | 10.1016/j.cjco.2020.09.005     | 33458636 | Thomas Kofler, Stefanie Hess, Federico Moccetti, Carl J. ... | Efficacy of Ranolazine for Treatment of Coronary Microvas... | 2020    
PMC7816930  | 10.1136/openhrt-2020-001486    | 33462108 | Kira Bang Bove, Marie M Michelsen, Jakob Schroder, Hannah... | Impaired coronary flow velocity reserve is associated wit... | 2021    
PMC8111523  | 10.1177/20420188211013917      | 34104397 | Sindhu Prabakaran, Arielle Schwartz, Gina Lundberg           | Cardiovascular risk in menopausal women and our evolving ... | 2021    
PMC8541623  | 10.3390/jpm11100965            | 34683106 | Diana Gurzău, Adela Sitar-Tăut, Bogdan Caloian, Gabriel G... | The Role of IL-6 and ET-1 in the Diagnosis of Coronary Mi... | 2021    
PMC8551605  | 10.3389/fcvm.2021.750071       | 34722680 | Tijn P. J. Jansen, Suzette E. Elias-Smale, Stijn van den ... | Sex Differences in Coronary Function Test Results in Pati... | 2021    
PMC8585781  | 10.3389/fcvm.2021.723542       | 34778394 | Jakob Schroder, Eva Prescott                                 | Doppler Echocardiography Assessment of Coronary Microvasc... | 2021    
PMC8606892  | 10.1167/tvst.10.13.24          | 34787666 | Julia Aschauer, Stefan Aschauer, Andreas Pollreisz, Felix... | Identification of Subclinical Microvascular Biomarkers in... | 2021    
PMC9234594  | 10.1016/j.ajpc.2022.100362     | 35769201 | Jian H. Chu, Erin D. Michos, Pamela Ouyang, Dhananjay Vai... | Coronary artery calcium and atherosclerotic cardiovascula... | 2022    
PMC9329157  | 10.1007/s11897-022-00555-0     | 35624387 | Myrthe M. A. Willemars, Miranda Nabben, Job A. J. Verdons... | Evaluation of the Interaction of Sex Hormones and Cardiov... | 2022    
(60 rows, 17ms)
[153ms, saved to s_e79c04a3]
